id_fecha,dia,mes,año,dia_semana,festivo_nacional
,16,junio,2012,sábado,desc
,17,junio,2012,domingo,desc
,18,junio,2012,lunes,desc
,19,junio,2012,martes,desc
,20,junio,2012,miércoles,desc
,21,junio,2012,jueves,desc
,22,junio,2012,viernes,desc
,23,junio,2012,sábado,desc
,24,junio,2012,domingo,desc
,25,junio,2012,lunes,desc
,26,junio,2012,martes,desc
,27,junio,2012,miércoles,desc
,28,junio,2012,jueves,desc
,29,junio,2012,viernes,desc
,30,junio,2012,sábado,desc
,1,julio,2012,domingo,desc
,2,julio,2012,lunes,desc
,3,julio,2012,martes,desc
,4,julio,2012,miércoles,desc
,5,julio,2012,jueves,desc
,6,julio,2012,viernes,desc
,7,julio,2012,sábado,desc
,8,julio,2012,domingo,desc
,9,julio,2012,lunes,desc
,10,julio,2012,martes,desc
,11,julio,2012,miércoles,desc
,12,julio,2012,jueves,desc
,13,julio,2012,viernes,desc
,14,julio,2012,sábado,desc
,15,julio,2012,domingo,desc
,16,julio,2012,lunes,desc
,17,julio,2012,martes,desc
,18,julio,2012,miércoles,desc
,19,julio,2012,jueves,desc
,20,julio,2012,viernes,desc
,21,julio,2012,sábado,desc
,22,julio,2012,domingo,desc
,23,julio,2012,lunes,desc
,24,julio,2012,martes,desc
,25,julio,2012,miércoles,desc
,26,julio,2012,jueves,desc
,27,julio,2012,viernes,desc
,28,julio,2012,sábado,desc
,29,julio,2012,domingo,desc
,30,julio,2012,lunes,desc
,31,julio,2012,martes,desc
,1,agosto,2012,miércoles,desc
,2,agosto,2012,jueves,desc
,3,agosto,2012,viernes,desc
,4,agosto,2012,sábado,desc
,5,agosto,2012,domingo,desc
,6,agosto,2012,lunes,desc
,7,agosto,2012,martes,desc
,8,agosto,2012,miércoles,desc
,9,agosto,2012,jueves,desc
,10,agosto,2012,viernes,desc
,11,agosto,2012,sábado,desc
,12,agosto,2012,domingo,desc
,13,agosto,2012,lunes,desc
,14,agosto,2012,martes,desc
,15,agosto,2012,miércoles,desc
,16,agosto,2012,jueves,desc
,17,agosto,2012,viernes,desc
,18,agosto,2012,sábado,desc
,19,agosto,2012,domingo,desc
,20,agosto,2012,lunes,desc
,21,agosto,2012,martes,desc
,22,agosto,2012,miércoles,desc
,23,agosto,2012,jueves,desc
,24,agosto,2012,viernes,desc
,25,agosto,2012,sábado,desc
,26,agosto,2012,domingo,desc
,27,agosto,2012,lunes,desc
,28,agosto,2012,martes,desc
,29,agosto,2012,miércoles,desc
,30,agosto,2012,jueves,desc
,31,agosto,2012,viernes,desc
,1,septiembre,2012,sábado,desc
,2,septiembre,2012,domingo,desc
,3,septiembre,2012,lunes,desc
,4,septiembre,2012,martes,desc
,5,septiembre,2012,miércoles,desc
,6,septiembre,2012,jueves,desc
,7,septiembre,2012,viernes,desc
,8,septiembre,2012,sábado,desc
,9,septiembre,2012,domingo,desc
,10,septiembre,2012,lunes,desc
,11,septiembre,2012,martes,desc
,12,septiembre,2012,miércoles,desc
,13,septiembre,2012,jueves,desc
,14,septiembre,2012,viernes,desc
,15,septiembre,2012,sábado,desc
,16,septiembre,2012,domingo,desc
,17,septiembre,2012,lunes,desc
,18,septiembre,2012,martes,desc
,19,septiembre,2012,miércoles,desc
,20,septiembre,2012,jueves,desc
,21,septiembre,2012,viernes,desc
,22,septiembre,2012,sábado,desc
,23,septiembre,2012,domingo,desc
,24,septiembre,2012,lunes,desc
,25,septiembre,2012,martes,desc
,26,septiembre,2012,miércoles,desc
,27,septiembre,2012,jueves,desc
,28,septiembre,2012,viernes,desc
,29,septiembre,2012,sábado,desc
,30,septiembre,2012,domingo,desc
,1,octubre,2012,lunes,desc
,2,octubre,2012,martes,desc
,3,octubre,2012,miércoles,desc
,4,octubre,2012,jueves,desc
,5,octubre,2012,viernes,desc
,6,octubre,2012,sábado,desc
,7,octubre,2012,domingo,desc
,8,octubre,2012,lunes,desc
,9,octubre,2012,martes,desc
,10,octubre,2012,miércoles,desc
,11,octubre,2012,jueves,desc
,12,octubre,2012,viernes,s
,13,octubre,2012,sábado,desc
,14,octubre,2012,domingo,desc
,15,octubre,2012,lunes,desc
,16,octubre,2012,martes,desc
,17,octubre,2012,miércoles,desc
,18,octubre,2012,jueves,desc
,19,octubre,2012,viernes,desc
,20,octubre,2012,sábado,desc
,21,octubre,2012,domingo,desc
,22,octubre,2012,lunes,desc
,23,octubre,2012,martes,desc
,24,octubre,2012,miércoles,desc
,25,octubre,2012,jueves,desc
,26,octubre,2012,viernes,desc
,27,octubre,2012,sábado,desc
,28,octubre,2012,domingo,desc
,29,octubre,2012,lunes,desc
,30,octubre,2012,martes,desc
,31,octubre,2012,miércoles,desc
,1,noviembre,2012,jueves,desc
,2,noviembre,2012,viernes,desc
,3,noviembre,2012,sábado,desc
,4,noviembre,2012,domingo,desc
,5,noviembre,2012,lunes,desc
,6,noviembre,2012,martes,desc
,7,noviembre,2012,miércoles,desc
,8,noviembre,2012,jueves,desc
,9,noviembre,2012,viernes,desc
,10,noviembre,2012,sábado,desc
,11,noviembre,2012,domingo,desc
,12,noviembre,2012,lunes,desc
,13,noviembre,2012,martes,desc
,14,noviembre,2012,miércoles,desc
,15,noviembre,2012,jueves,desc
,16,noviembre,2012,viernes,desc
,17,noviembre,2012,sábado,desc
,18,noviembre,2012,domingo,desc
,19,noviembre,2012,lunes,desc
,20,noviembre,2012,martes,desc
,21,noviembre,2012,miércoles,desc
,22,noviembre,2012,jueves,desc
,23,noviembre,2012,viernes,desc
,24,noviembre,2012,sábado,desc
,25,noviembre,2012,domingo,desc
,26,noviembre,2012,lunes,desc
,27,noviembre,2012,martes,desc
,28,noviembre,2012,miércoles,desc
,29,noviembre,2012,jueves,desc
,30,noviembre,2012,viernes,desc
,1,diciembre,2012,sábado,desc
,2,diciembre,2012,domingo,desc
,3,diciembre,2012,lunes,desc
,4,diciembre,2012,martes,desc
,5,diciembre,2012,miércoles,desc
,6,diciembre,2012,jueves,desc
,7,diciembre,2012,viernes,desc
,8,diciembre,2012,sábado,desc
,9,diciembre,2012,domingo,desc
,10,diciembre,2012,lunes,desc
,11,diciembre,2012,martes,desc
,12,diciembre,2012,miércoles,desc
,13,diciembre,2012,jueves,desc
,14,diciembre,2012,viernes,desc
,15,diciembre,2012,sábado,desc
,16,diciembre,2012,domingo,desc
,17,diciembre,2012,lunes,desc
,18,diciembre,2012,martes,desc
,19,diciembre,2012,miércoles,desc
,20,diciembre,2012,jueves,desc
,21,diciembre,2012,viernes,desc
,22,diciembre,2012,sábado,desc
,23,diciembre,2012,domingo,desc
,24,diciembre,2012,lunes,desc
,25,diciembre,2012,martes,desc
,26,diciembre,2012,miércoles,desc
,27,diciembre,2012,jueves,desc
,28,diciembre,2012,viernes,desc
,29,diciembre,2012,sábado,desc
,30,diciembre,2012,domingo,desc
,31,diciembre,2012,lunes,s
,1,enero,2013,martes,s
,2,enero,2013,miércoles,desc
,3,enero,2013,jueves,desc
,4,enero,2013,viernes,desc
,5,enero,2013,sábado,desc
,6,enero,2013,domingo,desc
,7,enero,2013,lunes,desc
,8,enero,2013,martes,desc
,9,enero,2013,miércoles,desc
,10,enero,2013,jueves,desc
,11,enero,2013,viernes,desc
,12,enero,2013,sábado,desc
,13,enero,2013,domingo,desc
,14,enero,2013,lunes,desc
,15,enero,2013,martes,desc
,16,enero,2013,miércoles,desc
,17,enero,2013,jueves,desc
,18,enero,2013,viernes,desc
,19,enero,2013,sábado,desc
,20,enero,2013,domingo,desc
,21,enero,2013,lunes,desc
,22,enero,2013,martes,desc
,23,enero,2013,miércoles,desc
,24,enero,2013,jueves,desc
,25,enero,2013,viernes,desc
,26,enero,2013,sábado,desc
,27,enero,2013,domingo,desc
,28,enero,2013,lunes,desc
,29,enero,2013,martes,desc
,30,enero,2013,miércoles,desc
,31,enero,2013,jueves,desc
,1,febrero,2013,viernes,desc
,2,febrero,2013,sábado,desc
,3,febrero,2013,domingo,desc
,4,febrero,2013,lunes,desc
,5,febrero,2013,martes,desc
,6,febrero,2013,miércoles,desc
,7,febrero,2013,jueves,desc
,8,febrero,2013,viernes,desc
,9,febrero,2013,sábado,desc
,10,febrero,2013,domingo,desc
,11,febrero,2013,lunes,desc
,12,febrero,2013,martes,desc
,13,febrero,2013,miércoles,desc
,14,febrero,2013,jueves,desc
,15,febrero,2013,viernes,desc
,16,febrero,2013,sábado,desc
,17,febrero,2013,domingo,desc
,18,febrero,2013,lunes,desc
,19,febrero,2013,martes,desc
,20,febrero,2013,miércoles,desc
,21,febrero,2013,jueves,desc
,22,febrero,2013,viernes,desc
,23,febrero,2013,sábado,desc
,24,febrero,2013,domingo,desc
,25,febrero,2013,lunes,desc
,26,febrero,2013,martes,desc
,27,febrero,2013,miércoles,desc
,28,febrero,2013,jueves,desc
,1,marzo,2013,viernes,desc
,2,marzo,2013,sábado,desc
,3,marzo,2013,domingo,desc
,4,marzo,2013,lunes,desc
,5,marzo,2013,martes,desc
,6,marzo,2013,miércoles,desc
,7,marzo,2013,jueves,desc
,8,marzo,2013,viernes,desc
,9,marzo,2013,sábado,desc
,10,marzo,2013,domingo,desc
,11,marzo,2013,lunes,desc
,12,marzo,2013,martes,desc
,13,marzo,2013,miércoles,desc
,14,marzo,2013,jueves,desc
,15,marzo,2013,viernes,desc
,16,marzo,2013,sábado,desc
,17,marzo,2013,domingo,desc
,18,marzo,2013,lunes,desc
,19,marzo,2013,martes,desc
,20,marzo,2013,miércoles,desc
,21,marzo,2013,jueves,desc
,22,marzo,2013,viernes,desc
,23,marzo,2013,sábado,desc
,24,marzo,2013,domingo,desc
,25,marzo,2013,lunes,desc
,26,marzo,2013,martes,desc
,27,marzo,2013,miércoles,desc
,28,marzo,2013,jueves,desc
,29,marzo,2013,viernes,desc
,30,marzo,2013,sábado,desc
,31,marzo,2013,domingo,desc
,1,abril,2013,lunes,desc
,2,abril,2013,martes,desc
,3,abril,2013,miércoles,desc
,4,abril,2013,jueves,desc
,5,abril,2013,viernes,desc
,6,abril,2013,sábado,desc
,7,abril,2013,domingo,desc
,8,abril,2013,lunes,desc
,9,abril,2013,martes,desc
,10,abril,2013,miércoles,desc
,11,abril,2013,jueves,desc
,12,abril,2013,viernes,desc
,13,abril,2013,sábado,desc
,14,abril,2013,domingo,desc
,15,abril,2013,lunes,desc
,16,abril,2013,martes,desc
,17,abril,2013,miércoles,desc
,18,abril,2013,jueves,desc
,19,abril,2013,viernes,desc
,20,abril,2013,sábado,desc
,21,abril,2013,domingo,desc
,22,abril,2013,lunes,desc
,23,abril,2013,martes,desc
,24,abril,2013,miércoles,desc
,25,abril,2013,jueves,desc
,26,abril,2013,viernes,desc
,27,abril,2013,sábado,desc
,28,abril,2013,domingo,desc
,29,abril,2013,lunes,desc
,30,abril,2013,martes,desc
,1,mayo,2013,miércoles,desc
,2,mayo,2013,jueves,desc
,3,mayo,2013,viernes,desc
,4,mayo,2013,sábado,desc
,5,mayo,2013,domingo,desc
,6,mayo,2013,lunes,desc
,7,mayo,2013,martes,desc
,8,mayo,2013,miércoles,desc
,9,mayo,2013,jueves,desc
,10,mayo,2013,viernes,desc
,11,mayo,2013,sábado,desc
,12,mayo,2013,domingo,desc
,13,mayo,2013,lunes,desc
,14,mayo,2013,martes,desc
,15,mayo,2013,miércoles,desc
,16,mayo,2013,jueves,desc
,17,mayo,2013,viernes,desc
,18,mayo,2013,sábado,desc
,19,mayo,2013,domingo,desc
,20,mayo,2013,lunes,desc
,21,mayo,2013,martes,desc
,22,mayo,2013,miércoles,desc
,23,mayo,2013,jueves,desc
,24,mayo,2013,viernes,desc
,25,mayo,2013,sábado,desc
,26,mayo,2013,domingo,desc
,27,mayo,2013,lunes,desc
,28,mayo,2013,martes,desc
,29,mayo,2013,miércoles,desc
,30,mayo,2013,jueves,desc
,31,mayo,2013,viernes,desc
,1,junio,2013,sábado,desc
,2,junio,2013,domingo,desc
,3,junio,2013,lunes,desc
,4,junio,2013,martes,desc
,5,junio,2013,miércoles,desc
,6,junio,2013,jueves,desc
,7,junio,2013,viernes,desc
,8,junio,2013,sábado,desc
,9,junio,2013,domingo,desc
,10,junio,2013,lunes,desc
,11,junio,2013,martes,desc
,12,junio,2013,miércoles,desc
,13,junio,2013,jueves,desc
,14,junio,2013,viernes,desc
,15,junio,2013,sábado,desc
,16,junio,2013,domingo,desc
,17,junio,2013,lunes,desc
,18,junio,2013,martes,desc
,19,junio,2013,miércoles,desc
,20,junio,2013,jueves,desc
,21,junio,2013,viernes,desc
,22,junio,2013,sábado,desc
,23,junio,2013,domingo,desc
,24,junio,2013,lunes,desc
,25,junio,2013,martes,desc
,26,junio,2013,miércoles,desc
,27,junio,2013,jueves,desc
,28,junio,2013,viernes,desc
,29,junio,2013,sábado,desc
,30,junio,2013,domingo,desc
,1,julio,2013,lunes,desc
,2,julio,2013,martes,desc
,3,julio,2013,miércoles,desc
,4,julio,2013,jueves,desc
,5,julio,2013,viernes,desc
,6,julio,2013,sábado,desc
,7,julio,2013,domingo,desc
,8,julio,2013,lunes,desc
,9,julio,2013,martes,desc
,10,julio,2013,miércoles,desc
,11,julio,2013,jueves,desc
,12,julio,2013,viernes,desc
,13,julio,2013,sábado,desc
,14,julio,2013,domingo,desc
,15,julio,2013,lunes,desc
,16,julio,2013,martes,desc
,17,julio,2013,miércoles,desc
,18,julio,2013,jueves,desc
,19,julio,2013,viernes,desc
,20,julio,2013,sábado,desc
,21,julio,2013,domingo,desc
,22,julio,2013,lunes,desc
,23,julio,2013,martes,desc
,24,julio,2013,miércoles,desc
,25,julio,2013,jueves,desc
,26,julio,2013,viernes,desc
,27,julio,2013,sábado,desc
,28,julio,2013,domingo,desc
,29,julio,2013,lunes,desc
,30,julio,2013,martes,desc
,31,julio,2013,miércoles,desc
,1,agosto,2013,jueves,desc
,2,agosto,2013,viernes,desc
,3,agosto,2013,sábado,desc
,4,agosto,2013,domingo,desc
,5,agosto,2013,lunes,desc
,6,agosto,2013,martes,desc
,7,agosto,2013,miércoles,desc
,8,agosto,2013,jueves,desc
,9,agosto,2013,viernes,desc
,10,agosto,2013,sábado,desc
,11,agosto,2013,domingo,desc
,12,agosto,2013,lunes,desc
,13,agosto,2013,martes,desc
,14,agosto,2013,miércoles,desc
,15,agosto,2013,jueves,desc
,16,agosto,2013,viernes,desc
,17,agosto,2013,sábado,desc
,18,agosto,2013,domingo,desc
,19,agosto,2013,lunes,desc
,20,agosto,2013,martes,desc
,21,agosto,2013,miércoles,desc
,22,agosto,2013,jueves,desc
,23,agosto,2013,viernes,desc
,24,agosto,2013,sábado,desc
,25,agosto,2013,domingo,desc
,26,agosto,2013,lunes,desc
,27,agosto,2013,martes,desc
,28,agosto,2013,miércoles,desc
,29,agosto,2013,jueves,desc
,30,agosto,2013,viernes,desc
,31,agosto,2013,sábado,desc
,1,septiembre,2013,domingo,desc
,2,septiembre,2013,lunes,desc
,3,septiembre,2013,martes,desc
,4,septiembre,2013,miércoles,desc
,5,septiembre,2013,jueves,desc
,6,septiembre,2013,viernes,desc
,7,septiembre,2013,sábado,desc
,8,septiembre,2013,domingo,desc
,9,septiembre,2013,lunes,desc
,10,septiembre,2013,martes,desc
,11,septiembre,2013,miércoles,desc
,12,septiembre,2013,jueves,desc
,13,septiembre,2013,viernes,desc
,14,septiembre,2013,sábado,desc
,15,septiembre,2013,domingo,desc
,16,septiembre,2013,lunes,desc
,17,septiembre,2013,martes,desc
,18,septiembre,2013,miércoles,desc
,19,septiembre,2013,jueves,desc
,20,septiembre,2013,viernes,desc
,21,septiembre,2013,sábado,desc
,22,septiembre,2013,domingo,desc
,23,septiembre,2013,lunes,desc
,24,septiembre,2013,martes,desc
,25,septiembre,2013,miércoles,desc
