id_hora,hora,minuto,verano
1239n,12,39,n
1240s,12,40,s
1240n,12,40,n
1241s,12,41,s
1241n,12,41,n
1242s,12,42,s
1242n,12,42,n
1243s,12,43,s
1243n,12,43,n
1244s,12,44,s
1244n,12,44,n
1245s,12,45,s
1245n,12,45,n
1246s,12,46,s
1246n,12,46,n
1247s,12,47,s
1247n,12,47,n
1248s,12,48,s
1248n,12,48,n
1249s,12,49,s
1249n,12,49,n
1250s,12,50,s
1250n,12,50,n
1251s,12,51,s
1251n,12,51,n
1252s,12,52,s
1252n,12,52,n
1253s,12,53,s
1253n,12,53,n
1254s,12,54,s
1254n,12,54,n
1255s,12,55,s
1255n,12,55,n
1256s,12,56,s
1256n,12,56,n
1257s,12,57,s
1257n,12,57,n
1258s,12,58,s
1258n,12,58,n
1259s,12,59,s
1259n,12,59,n
130s,13,0,s
130n,13,0,n
131s,13,1,s
131n,13,1,n
132s,13,2,s
132n,13,2,n
133s,13,3,s
133n,13,3,n
134s,13,4,s
134n,13,4,n
135s,13,5,s
135n,13,5,n
136s,13,6,s
136n,13,6,n
137s,13,7,s
137n,13,7,n
138s,13,8,s
138n,13,8,n
139s,13,9,s
139n,13,9,n
1310s,13,10,s
1310n,13,10,n
1311s,13,11,s
1311n,13,11,n
1312s,13,12,s
1312n,13,12,n
1313s,13,13,s
1313n,13,13,n
1314s,13,14,s
1314n,13,14,n
1315s,13,15,s
1315n,13,15,n
1316s,13,16,s
1316n,13,16,n
1317s,13,17,s
1317n,13,17,n
1318s,13,18,s
1318n,13,18,n
1319s,13,19,s
1319n,13,19,n
1320s,13,20,s
1320n,13,20,n
1321s,13,21,s
1321n,13,21,n
1322s,13,22,s
1322n,13,22,n
1323s,13,23,s
1323n,13,23,n
1324s,13,24,s
1324n,13,24,n
1325s,13,25,s
1325n,13,25,n
1326s,13,26,s
1326n,13,26,n
1327s,13,27,s
1327n,13,27,n
1328s,13,28,s
1328n,13,28,n
1329s,13,29,s
1329n,13,29,n
1330s,13,30,s
1330n,13,30,n
1331s,13,31,s
1331n,13,31,n
1332s,13,32,s
1332n,13,32,n
1333s,13,33,s
1333n,13,33,n
1334s,13,34,s
1334n,13,34,n
1335s,13,35,s
1335n,13,35,n
1336s,13,36,s
1336n,13,36,n
1337s,13,37,s
1337n,13,37,n
1338s,13,38,s
1338n,13,38,n
1339s,13,39,s
1339n,13,39,n
1340s,13,40,s
1340n,13,40,n
1341s,13,41,s
1341n,13,41,n
1342s,13,42,s
1342n,13,42,n
1343s,13,43,s
1343n,13,43,n
1344s,13,44,s
1344n,13,44,n
1345s,13,45,s
1345n,13,45,n
1346s,13,46,s
1346n,13,46,n
1347s,13,47,s
1347n,13,47,n
1348s,13,48,s
1348n,13,48,n
1349s,13,49,s
1349n,13,49,n
1350s,13,50,s
1350n,13,50,n
1351s,13,51,s
1351n,13,51,n
1352s,13,52,s
1352n,13,52,n
1353s,13,53,s
1353n,13,53,n
1354s,13,54,s
1354n,13,54,n
1355s,13,55,s
1355n,13,55,n
1356s,13,56,s
1356n,13,56,n
1357s,13,57,s
1357n,13,57,n
1358s,13,58,s
1358n,13,58,n
1359s,13,59,s
1359n,13,59,n
140s,14,0,s
140n,14,0,n
141s,14,1,s
141n,14,1,n
142s,14,2,s
142n,14,2,n
143s,14,3,s
143n,14,3,n
144s,14,4,s
144n,14,4,n
145s,14,5,s
145n,14,5,n
146s,14,6,s
146n,14,6,n
147s,14,7,s
147n,14,7,n
148s,14,8,s
148n,14,8,n
149s,14,9,s
149n,14,9,n
1410s,14,10,s
1410n,14,10,n
1411s,14,11,s
1411n,14,11,n
1412s,14,12,s
1412n,14,12,n
1413s,14,13,s
1413n,14,13,n
1414s,14,14,s
1414n,14,14,n
1415s,14,15,s
1415n,14,15,n
1416s,14,16,s
1416n,14,16,n
1417s,14,17,s
1417n,14,17,n
1418s,14,18,s
1418n,14,18,n
1419s,14,19,s
1419n,14,19,n
1420s,14,20,s
1420n,14,20,n
1421s,14,21,s
1421n,14,21,n
1422s,14,22,s
1422n,14,22,n
1423s,14,23,s
1423n,14,23,n
1424s,14,24,s
1424n,14,24,n
1425s,14,25,s
1425n,14,25,n
1426s,14,26,s
1426n,14,26,n
1427s,14,27,s
1427n,14,27,n
1428s,14,28,s
1428n,14,28,n
1429s,14,29,s
1429n,14,29,n
1430s,14,30,s
1430n,14,30,n
1431s,14,31,s
1431n,14,31,n
1432s,14,32,s
1432n,14,32,n
1433s,14,33,s
1433n,14,33,n
1434s,14,34,s
1434n,14,34,n
1435s,14,35,s
1435n,14,35,n
1436s,14,36,s
1436n,14,36,n
1437s,14,37,s
1437n,14,37,n
1438s,14,38,s
1438n,14,38,n
1439s,14,39,s
1439n,14,39,n
1440s,14,40,s
1440n,14,40,n
1441s,14,41,s
1441n,14,41,n
1442s,14,42,s
1442n,14,42,n
1443s,14,43,s
1443n,14,43,n
1444s,14,44,s
1444n,14,44,n
1445s,14,45,s
1445n,14,45,n
1446s,14,46,s
1446n,14,46,n
1447s,14,47,s
1447n,14,47,n
1448s,14,48,s
1448n,14,48,n
1449s,14,49,s
1449n,14,49,n
1450s,14,50,s
1450n,14,50,n
1451s,14,51,s
1451n,14,51,n
1452s,14,52,s
1452n,14,52,n
1453s,14,53,s
1453n,14,53,n
1454s,14,54,s
1454n,14,54,n
1455s,14,55,s
1455n,14,55,n
1456s,14,56,s
1456n,14,56,n
1457s,14,57,s
1457n,14,57,n
1458s,14,58,s
1458n,14,58,n
1459s,14,59,s
1459n,14,59,n
150s,15,0,s
150n,15,0,n
151s,15,1,s
151n,15,1,n
152s,15,2,s
152n,15,2,n
153s,15,3,s
153n,15,3,n
154s,15,4,s
154n,15,4,n
155s,15,5,s
155n,15,5,n
156s,15,6,s
156n,15,6,n
157s,15,7,s
157n,15,7,n
158s,15,8,s
158n,15,8,n
159s,15,9,s
159n,15,9,n
1510s,15,10,s
1510n,15,10,n
1511s,15,11,s
1511n,15,11,n
1512s,15,12,s
1512n,15,12,n
1513s,15,13,s
1513n,15,13,n
1514s,15,14,s
1514n,15,14,n
1515s,15,15,s
1515n,15,15,n
1516s,15,16,s
1516n,15,16,n
1517s,15,17,s
1517n,15,17,n
1518s,15,18,s
1518n,15,18,n
1519s,15,19,s
1519n,15,19,n
1520s,15,20,s
1520n,15,20,n
1521s,15,21,s
1521n,15,21,n
1522s,15,22,s
1522n,15,22,n
1523s,15,23,s
1523n,15,23,n
1524s,15,24,s
1524n,15,24,n
1525s,15,25,s
1525n,15,25,n
1526s,15,26,s
1526n,15,26,n
1527s,15,27,s
1527n,15,27,n
1528s,15,28,s
1528n,15,28,n
1529s,15,29,s
1529n,15,29,n
1530s,15,30,s
1530n,15,30,n
1531s,15,31,s
1531n,15,31,n
1532s,15,32,s
1532n,15,32,n
1533s,15,33,s
1533n,15,33,n
1534s,15,34,s
1534n,15,34,n
1535s,15,35,s
1535n,15,35,n
1536s,15,36,s
1536n,15,36,n
1537s,15,37,s
1537n,15,37,n
1538s,15,38,s
1538n,15,38,n
1539s,15,39,s
1539n,15,39,n
1540s,15,40,s
1540n,15,40,n
1541s,15,41,s
1541n,15,41,n
1542s,15,42,s
1542n,15,42,n
1543s,15,43,s
1543n,15,43,n
1544s,15,44,s
1544n,15,44,n
1545s,15,45,s
1545n,15,45,n
1546s,15,46,s
1546n,15,46,n
1547s,15,47,s
1547n,15,47,n
1548s,15,48,s
1548n,15,48,n
1549s,15,49,s
1549n,15,49,n
1550s,15,50,s
1550n,15,50,n
1551s,15,51,s
1551n,15,51,n
1552s,15,52,s
1552n,15,52,n
1553s,15,53,s
1553n,15,53,n
1554s,15,54,s
1554n,15,54,n
1555s,15,55,s
1555n,15,55,n
1556s,15,56,s
1556n,15,56,n
1557s,15,57,s
1557n,15,57,n
1558s,15,58,s
1558n,15,58,n
1559s,15,59,s
1559n,15,59,n
160s,16,0,s
160n,16,0,n
161s,16,1,s
161n,16,1,n
162s,16,2,s
162n,16,2,n
163s,16,3,s
163n,16,3,n
164s,16,4,s
164n,16,4,n
165s,16,5,s
165n,16,5,n
166s,16,6,s
166n,16,6,n
167s,16,7,s
167n,16,7,n
168s,16,8,s
168n,16,8,n
169s,16,9,s
169n,16,9,n
1610s,16,10,s
1610n,16,10,n
1611s,16,11,s
1611n,16,11,n
1612s,16,12,s
1612n,16,12,n
1613s,16,13,s
1613n,16,13,n
1614s,16,14,s
1614n,16,14,n
1615s,16,15,s
1615n,16,15,n
1616s,16,16,s
1616n,16,16,n
1617s,16,17,s
1617n,16,17,n
1618s,16,18,s
1618n,16,18,n
1619s,16,19,s
1619n,16,19,n
1620s,16,20,s
1620n,16,20,n
1621s,16,21,s
1621n,16,21,n
1622s,16,22,s
1622n,16,22,n
1623s,16,23,s
1623n,16,23,n
1624s,16,24,s
1624n,16,24,n
1625s,16,25,s
1625n,16,25,n
1626s,16,26,s
1626n,16,26,n
1627s,16,27,s
1627n,16,27,n
1628s,16,28,s
1628n,16,28,n
1629s,16,29,s
1629n,16,29,n
1630s,16,30,s
1630n,16,30,n
1631s,16,31,s
1631n,16,31,n
1632s,16,32,s
1632n,16,32,n
1633s,16,33,s
1633n,16,33,n
1634s,16,34,s
1634n,16,34,n
1635s,16,35,s
1635n,16,35,n
1636s,16,36,s
1636n,16,36,n
1637s,16,37,s
1637n,16,37,n
1638s,16,38,s
1638n,16,38,n
1639s,16,39,s
1639n,16,39,n
1640s,16,40,s
1640n,16,40,n
1641s,16,41,s
1641n,16,41,n
1642s,16,42,s
1642n,16,42,n
1643s,16,43,s
1643n,16,43,n
1644s,16,44,s
1644n,16,44,n
1645s,16,45,s
1645n,16,45,n
1646s,16,46,s
1646n,16,46,n
1647s,16,47,s
1647n,16,47,n
1648s,16,48,s
1648n,16,48,n
1649s,16,49,s
1649n,16,49,n
1650s,16,50,s
1650n,16,50,n
1651s,16,51,s
1651n,16,51,n
1652s,16,52,s
1652n,16,52,n
1653s,16,53,s
1653n,16,53,n
1654s,16,54,s
1654n,16,54,n
1655s,16,55,s
1655n,16,55,n
1656s,16,56,s
1656n,16,56,n
1657s,16,57,s
1657n,16,57,n
1658s,16,58,s
1658n,16,58,n
1659s,16,59,s
1659n,16,59,n
170s,17,0,s
170n,17,0,n
171s,17,1,s
171n,17,1,n
172s,17,2,s
172n,17,2,n
173s,17,3,s
173n,17,3,n
174s,17,4,s
174n,17,4,n
175s,17,5,s
175n,17,5,n
176s,17,6,s
176n,17,6,n
177s,17,7,s
177n,17,7,n
178s,17,8,s
178n,17,8,n
179s,17,9,s
179n,17,9,n
1710s,17,10,s
1710n,17,10,n
1711s,17,11,s
1711n,17,11,n
1712s,17,12,s
1712n,17,12,n
1713s,17,13,s
1713n,17,13,n
1714s,17,14,s
1714n,17,14,n
1715s,17,15,s
1715n,17,15,n
1716s,17,16,s
1716n,17,16,n
1717s,17,17,s
1717n,17,17,n
1718s,17,18,s
1718n,17,18,n
1719s,17,19,s
1719n,17,19,n
1720s,17,20,s
1720n,17,20,n
1721s,17,21,s
1721n,17,21,n
1722s,17,22,s
1722n,17,22,n
1723s,17,23,s
1723n,17,23,n
1724s,17,24,s
1724n,17,24,n
1725s,17,25,s
1725n,17,25,n
1726s,17,26,s
1726n,17,26,n
1727s,17,27,s
1727n,17,27,n
1728s,17,28,s
1728n,17,28,n
1729s,17,29,s
1729n,17,29,n
1730s,17,30,s
1730n,17,30,n
1731s,17,31,s
1731n,17,31,n
1732s,17,32,s
1732n,17,32,n
1733s,17,33,s
1733n,17,33,n
1734s,17,34,s
1734n,17,34,n
1735s,17,35,s
1735n,17,35,n
1736s,17,36,s
1736n,17,36,n
1737s,17,37,s
1737n,17,37,n
1738s,17,38,s
1738n,17,38,n
1739s,17,39,s
1739n,17,39,n
1740s,17,40,s
1740n,17,40,n
1741s,17,41,s
1741n,17,41,n
1742s,17,42,s
1742n,17,42,n
1743s,17,43,s
1743n,17,43,n
1744s,17,44,s
1744n,17,44,n
1745s,17,45,s
1745n,17,45,n
1746s,17,46,s
1746n,17,46,n
1747s,17,47,s
1747n,17,47,n
1748s,17,48,s
1748n,17,48,n
1749s,17,49,s
1749n,17,49,n
1750s,17,50,s
1750n,17,50,n
1751s,17,51,s
1751n,17,51,n
1752s,17,52,s
1752n,17,52,n
1753s,17,53,s
1753n,17,53,n
1754s,17,54,s
1754n,17,54,n
1755s,17,55,s
1755n,17,55,n
1756s,17,56,s
1756n,17,56,n
1757s,17,57,s
1757n,17,57,n
1758s,17,58,s
1758n,17,58,n
1759s,17,59,s
1759n,17,59,n
180s,18,0,s
180n,18,0,n
181s,18,1,s
181n,18,1,n
182s,18,2,s
182n,18,2,n
183s,18,3,s
183n,18,3,n
184s,18,4,s
184n,18,4,n
185s,18,5,s
185n,18,5,n
186s,18,6,s
186n,18,6,n
187s,18,7,s
187n,18,7,n
188s,18,8,s
188n,18,8,n
189s,18,9,s
189n,18,9,n
1810s,18,10,s
1810n,18,10,n
1811s,18,11,s
1811n,18,11,n
1812s,18,12,s
1812n,18,12,n
1813s,18,13,s
1813n,18,13,n
1814s,18,14,s
1814n,18,14,n
1815s,18,15,s
1815n,18,15,n
1816s,18,16,s
1816n,18,16,n
1817s,18,17,s
1817n,18,17,n
1818s,18,18,s
1818n,18,18,n
1819s,18,19,s
1819n,18,19,n
1820s,18,20,s
1820n,18,20,n
1821s,18,21,s
1821n,18,21,n
1822s,18,22,s
1822n,18,22,n
1823s,18,23,s
1823n,18,23,n
1824s,18,24,s
1824n,18,24,n
1825s,18,25,s
1825n,18,25,n
1826s,18,26,s
1826n,18,26,n
1827s,18,27,s
1827n,18,27,n
1828s,18,28,s
1828n,18,28,n
1829s,18,29,s
1829n,18,29,n
1830s,18,30,s
1830n,18,30,n
1831s,18,31,s
1831n,18,31,n
1832s,18,32,s
1832n,18,32,n
1833s,18,33,s
1833n,18,33,n
1834s,18,34,s
1834n,18,34,n
1835s,18,35,s
1835n,18,35,n
1836s,18,36,s
1836n,18,36,n
1837s,18,37,s
1837n,18,37,n
1838s,18,38,s
1838n,18,38,n
1839s,18,39,s
1839n,18,39,n
1840s,18,40,s
1840n,18,40,n
1841s,18,41,s
1841n,18,41,n
1842s,18,42,s
1842n,18,42,n
1843s,18,43,s
1843n,18,43,n
1844s,18,44,s
1844n,18,44,n
1845s,18,45,s
1845n,18,45,n
1846s,18,46,s
1846n,18,46,n
1847s,18,47,s
1847n,18,47,n
1848s,18,48,s
1848n,18,48,n
1849s,18,49,s
1849n,18,49,n
1850s,18,50,s
1850n,18,50,n
1851s,18,51,s
1851n,18,51,n
1852s,18,52,s
1852n,18,52,n
1853s,18,53,s
1853n,18,53,n
1854s,18,54,s
1854n,18,54,n
1855s,18,55,s
1855n,18,55,n
1856s,18,56,s
1856n,18,56,n
1857s,18,57,s
1857n,18,57,n
1858s,18,58,s
1858n,18,58,n
1859s,18,59,s
1859n,18,59,n
190s,19,0,s
190n,19,0,n
191s,19,1,s
191n,19,1,n
192s,19,2,s
192n,19,2,n
193s,19,3,s
193n,19,3,n
194s,19,4,s
194n,19,4,n
195s,19,5,s
195n,19,5,n
196s,19,6,s
196n,19,6,n
197s,19,7,s
197n,19,7,n
198s,19,8,s
198n,19,8,n
199s,19,9,s
199n,19,9,n
1910s,19,10,s
1910n,19,10,n
1911s,19,11,s
1911n,19,11,n
1912s,19,12,s
1912n,19,12,n
1913s,19,13,s
1913n,19,13,n
1914s,19,14,s
1914n,19,14,n
1915s,19,15,s
1915n,19,15,n
1916s,19,16,s
1916n,19,16,n
1917s,19,17,s
1917n,19,17,n
1918s,19,18,s
1918n,19,18,n
1919s,19,19,s
1919n,19,19,n
1920s,19,20,s
1920n,19,20,n
1921s,19,21,s
1921n,19,21,n
1922s,19,22,s
1922n,19,22,n
1923s,19,23,s
1923n,19,23,n
1924s,19,24,s
1924n,19,24,n
1925s,19,25,s
1925n,19,25,n
1926s,19,26,s
1926n,19,26,n
1927s,19,27,s
1927n,19,27,n
1928s,19,28,s
1928n,19,28,n
1929s,19,29,s
1929n,19,29,n
1930s,19,30,s
1930n,19,30,n
1931s,19,31,s
1931n,19,31,n
1932s,19,32,s
1932n,19,32,n
1933s,19,33,s
1933n,19,33,n
1934s,19,34,s
1934n,19,34,n
1935s,19,35,s
1935n,19,35,n
1936s,19,36,s
1936n,19,36,n
1937s,19,37,s
1937n,19,37,n
1938s,19,38,s
1938n,19,38,n
1939s,19,39,s
1939n,19,39,n
1940s,19,40,s
1940n,19,40,n
1941s,19,41,s
1941n,19,41,n
1942s,19,42,s
1942n,19,42,n
1943s,19,43,s
1943n,19,43,n
1944s,19,44,s
1944n,19,44,n
1945s,19,45,s
1945n,19,45,n
1946s,19,46,s
1946n,19,46,n
1947s,19,47,s
1947n,19,47,n
1948s,19,48,s
1948n,19,48,n
1949s,19,49,s
1949n,19,49,n
1950s,19,50,s
1950n,19,50,n
1951s,19,51,s
1951n,19,51,n
1952s,19,52,s
1952n,19,52,n
1953s,19,53,s
1953n,19,53,n
1954s,19,54,s
1954n,19,54,n
1955s,19,55,s
1955n,19,55,n
1956s,19,56,s
1956n,19,56,n
1957s,19,57,s
1957n,19,57,n
1958s,19,58,s
1958n,19,58,n
1959s,19,59,s
1959n,19,59,n
200s,20,0,s
200n,20,0,n
201s,20,1,s
201n,20,1,n
202s,20,2,s
202n,20,2,n
203s,20,3,s
203n,20,3,n
204s,20,4,s
204n,20,4,n
205s,20,5,s
205n,20,5,n
206s,20,6,s
206n,20,6,n
207s,20,7,s
207n,20,7,n
208s,20,8,s
208n,20,8,n
209s,20,9,s
209n,20,9,n
2010s,20,10,s
2010n,20,10,n
2011s,20,11,s
2011n,20,11,n
2012s,20,12,s
2012n,20,12,n
2013s,20,13,s
2013n,20,13,n
2014s,20,14,s
2014n,20,14,n
2015s,20,15,s
2015n,20,15,n
2016s,20,16,s
2016n,20,16,n
2017s,20,17,s
2017n,20,17,n
2018s,20,18,s
2018n,20,18,n
2019s,20,19,s
2019n,20,19,n
2020s,20,20,s
2020n,20,20,n
2021s,20,21,s
2021n,20,21,n
2022s,20,22,s
2022n,20,22,n
2023s,20,23,s
2023n,20,23,n
2024s,20,24,s
2024n,20,24,n
2025s,20,25,s
2025n,20,25,n
2026s,20,26,s
2026n,20,26,n
2027s,20,27,s
2027n,20,27,n
2028s,20,28,s
2028n,20,28,n
2029s,20,29,s
2029n,20,29,n
2030s,20,30,s
2030n,20,30,n
2031s,20,31,s
2031n,20,31,n
2032s,20,32,s
2032n,20,32,n
2033s,20,33,s
2033n,20,33,n
2034s,20,34,s
2034n,20,34,n
2035s,20,35,s
2035n,20,35,n
2036s,20,36,s
2036n,20,36,n
2037s,20,37,s
2037n,20,37,n
2038s,20,38,s
2038n,20,38,n
2039s,20,39,s
2039n,20,39,n
2040s,20,40,s
2040n,20,40,n
2041s,20,41,s
2041n,20,41,n
2042s,20,42,s
2042n,20,42,n
2043s,20,43,s
2043n,20,43,n
2044s,20,44,s
2044n,20,44,n
2045s,20,45,s
2045n,20,45,n
2046s,20,46,s
2046n,20,46,n
2047s,20,47,s
2047n,20,47,n
2048s,20,48,s
2048n,20,48,n
2049s,20,49,s
2049n,20,49,n
2050s,20,50,s
2050n,20,50,n
2051s,20,51,s
2051n,20,51,n
2052s,20,52,s
2052n,20,52,n
2053s,20,53,s
2053n,20,53,n
2054s,20,54,s
2054n,20,54,n
2055s,20,55,s
2055n,20,55,n
2056s,20,56,s
2056n,20,56,n
2057s,20,57,s
2057n,20,57,n
2058s,20,58,s
2058n,20,58,n
2059s,20,59,s
2059n,20,59,n
210s,21,0,s
210n,21,0,n
211s,21,1,s
211n,21,1,n
212s,21,2,s
212n,21,2,n
213s,21,3,s
213n,21,3,n
214s,21,4,s
214n,21,4,n
215s,21,5,s
215n,21,5,n
216s,21,6,s
216n,21,6,n
217s,21,7,s
217n,21,7,n
218s,21,8,s
218n,21,8,n
219s,21,9,s
219n,21,9,n
2110s,21,10,s
2110n,21,10,n
2111s,21,11,s
2111n,21,11,n
2112s,21,12,s
2112n,21,12,n
2113s,21,13,s
2113n,21,13,n
2114s,21,14,s
2114n,21,14,n
2115s,21,15,s
2115n,21,15,n
2116s,21,16,s
2116n,21,16,n
2117s,21,17,s
2117n,21,17,n
2118s,21,18,s
2118n,21,18,n
2119s,21,19,s
2119n,21,19,n
2120s,21,20,s
2120n,21,20,n
2121s,21,21,s
2121n,21,21,n
2122s,21,22,s
2122n,21,22,n
2123s,21,23,s
2123n,21,23,n
2124s,21,24,s
2124n,21,24,n
2125s,21,25,s
2125n,21,25,n
2126s,21,26,s
2126n,21,26,n
2127s,21,27,s
2127n,21,27,n
2128s,21,28,s
2128n,21,28,n
2129s,21,29,s
2129n,21,29,n
2130s,21,30,s
2130n,21,30,n
2131s,21,31,s
2131n,21,31,n
2132s,21,32,s
2132n,21,32,n
2133s,21,33,s
2133n,21,33,n
2134s,21,34,s
2134n,21,34,n
2135s,21,35,s
2135n,21,35,n
2136s,21,36,s
2136n,21,36,n
2137s,21,37,s
2137n,21,37,n
2138s,21,38,s
2138n,21,38,n
2139s,21,39,s
2139n,21,39,n
2140s,21,40,s
2140n,21,40,n
2141s,21,41,s
2141n,21,41,n
2142s,21,42,s
2142n,21,42,n
2143s,21,43,s
2143n,21,43,n
2144s,21,44,s
2144n,21,44,n
2145s,21,45,s
2145n,21,45,n
2146s,21,46,s
2146n,21,46,n
2147s,21,47,s
2147n,21,47,n
2148s,21,48,s
2148n,21,48,n
2149s,21,49,s
2149n,21,49,n
2150s,21,50,s
2150n,21,50,n
2151s,21,51,s
2151n,21,51,n
2152s,21,52,s
2152n,21,52,n
2153s,21,53,s
2153n,21,53,n
2154s,21,54,s
2154n,21,54,n
2155s,21,55,s
2155n,21,55,n
2156s,21,56,s
2156n,21,56,n
2157s,21,57,s
2157n,21,57,n
2158s,21,58,s
2158n,21,58,n
2159s,21,59,s
2159n,21,59,n
220s,22,0,s
220n,22,0,n
221s,22,1,s
221n,22,1,n
222s,22,2,s
222n,22,2,n
223s,22,3,s
223n,22,3,n
224s,22,4,s
224n,22,4,n
225s,22,5,s
225n,22,5,n
226s,22,6,s
226n,22,6,n
227s,22,7,s
227n,22,7,n
228s,22,8,s
228n,22,8,n
229s,22,9,s
229n,22,9,n
2210s,22,10,s
2210n,22,10,n
2211s,22,11,s
2211n,22,11,n
2212s,22,12,s
2212n,22,12,n
2213s,22,13,s
2213n,22,13,n
2214s,22,14,s
2214n,22,14,n
2215s,22,15,s
2215n,22,15,n
2216s,22,16,s
2216n,22,16,n
2217s,22,17,s
2217n,22,17,n
2218s,22,18,s
2218n,22,18,n
2219s,22,19,s
2219n,22,19,n
2220s,22,20,s
2220n,22,20,n
2221s,22,21,s
2221n,22,21,n
2222s,22,22,s
2222n,22,22,n
2223s,22,23,s
2223n,22,23,n
2224s,22,24,s
2224n,22,24,n
2225s,22,25,s
2225n,22,25,n
2226s,22,26,s
2226n,22,26,n
2227s,22,27,s
2227n,22,27,n
2228s,22,28,s
2228n,22,28,n
2229s,22,29,s
2229n,22,29,n
2230s,22,30,s
2230n,22,30,n
2231s,22,31,s
2231n,22,31,n
2232s,22,32,s
2232n,22,32,n
2233s,22,33,s
2233n,22,33,n
2234s,22,34,s
2234n,22,34,n
2235s,22,35,s
2235n,22,35,n
2236s,22,36,s
2236n,22,36,n
2237s,22,37,s
2237n,22,37,n
2238s,22,38,s
2238n,22,38,n
2239s,22,39,s
2239n,22,39,n
2240s,22,40,s
2240n,22,40,n
2241s,22,41,s
2241n,22,41,n
2242s,22,42,s
2242n,22,42,n
2243s,22,43,s
2243n,22,43,n
2244s,22,44,s
2244n,22,44,n
2245s,22,45,s
2245n,22,45,n
2246s,22,46,s
2246n,22,46,n
2247s,22,47,s
2247n,22,47,n
2248s,22,48,s
2248n,22,48,n
2249s,22,49,s
2249n,22,49,n
2250s,22,50,s
2250n,22,50,n
2251s,22,51,s
2251n,22,51,n
2252s,22,52,s
2252n,22,52,n
2253s,22,53,s
2253n,22,53,n
2254s,22,54,s
2254n,22,54,n
2255s,22,55,s
2255n,22,55,n
2256s,22,56,s
2256n,22,56,n
2257s,22,57,s
2257n,22,57,n
2258s,22,58,s
2258n,22,58,n
2259s,22,59,s
2259n,22,59,n
230s,23,0,s
230n,23,0,n
231s,23,1,s
231n,23,1,n
232s,23,2,s
232n,23,2,n
233s,23,3,s
233n,23,3,n
234s,23,4,s
234n,23,4,n
235s,23,5,s
235n,23,5,n
236s,23,6,s
236n,23,6,n
237s,23,7,s
237n,23,7,n
238s,23,8,s
238n,23,8,n
239s,23,9,s
239n,23,9,n
2310s,23,10,s
2310n,23,10,n
2311s,23,11,s
2311n,23,11,n
2312s,23,12,s
2312n,23,12,n
2313s,23,13,s
2313n,23,13,n
2314s,23,14,s
2314n,23,14,n
2315s,23,15,s
2315n,23,15,n
2316s,23,16,s
2316n,23,16,n
2317s,23,17,s
2317n,23,17,n
2318s,23,18,s
2318n,23,18,n
2319s,23,19,s
2319n,23,19,n
2320s,23,20,s
2320n,23,20,n
2321s,23,21,s
2321n,23,21,n
2322s,23,22,s
2322n,23,22,n
2323s,23,23,s
2323n,23,23,n
2324s,23,24,s
2324n,23,24,n
2325s,23,25,s
2325n,23,25,n
2326s,23,26,s
2326n,23,26,n
2327s,23,27,s
2327n,23,27,n
2328s,23,28,s
2328n,23,28,n
2329s,23,29,s
2329n,23,29,n
2330s,23,30,s
2330n,23,30,n
2331s,23,31,s
2331n,23,31,n
2332s,23,32,s
2332n,23,32,n
2333s,23,33,s
2333n,23,33,n
2334s,23,34,s
2334n,23,34,n
2335s,23,35,s
2335n,23,35,n
2336s,23,36,s
2336n,23,36,n
2337s,23,37,s
2337n,23,37,n
2338s,23,38,s
2338n,23,38,n
2339s,23,39,s
2339n,23,39,n
2340s,23,40,s
2340n,23,40,n
2341s,23,41,s
2341n,23,41,n
2342s,23,42,s
2342n,23,42,n
2343s,23,43,s
2343n,23,43,n
2344s,23,44,s
2344n,23,44,n
2345s,23,45,s
2345n,23,45,n
2346s,23,46,s
2346n,23,46,n
2347s,23,47,s
2347n,23,47,n
2348s,23,48,s
2348n,23,48,n
2349s,23,49,s
2349n,23,49,n
2350s,23,50,s
2350n,23,50,n
2351s,23,51,s
2351n,23,51,n
2352s,23,52,s
2352n,23,52,n
2353s,23,53,s
2353n,23,53,n
2354s,23,54,s
2354n,23,54,n
2355s,23,55,s
2355n,23,55,n
2356s,23,56,s
2356n,23,56,n
2357s,23,57,s
2357n,23,57,n
2358s,23,58,s
2358n,23,58,n
2359s,23,59,s
2359n,23,59,n
